stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
roda-2,roda-2,-6.6056,106.8018,2
roda-3,roda-3,-6.6077,106.8035,2
roda-4,roda-4,-6.6096,106.8048,2
roda-siliwangi,roda-siliwangi,-6.6099,106.8045,2
siliwangi-jlsukasari,siliwangi-jlsukasari,-6.6178,106.8120,2
jlsukasari-1,jlsukasari-1,-6.6177,106.8123,2
jlsukasari-2,jlsukasari-2,-6.6176,106.8133,2
jlsukasari-pajajaran,jlsukasari-pajajaran,-6.6185,106.8153,2
pjjindah-1,pjjindah-1,-6.6116,106.8149,2
pjjindah-2,pjjindah-2,-6.6139,106.8169,2
pjjindah-3,pjjindah-3,-6.6134,106.8173,2
pjjindah-4,pjjindah-4,-6.6133,106.8179,2
pjjindah-5,pjjindah-5,-6.6136,106.8182,2
pjjindah-6,pjjindah-6,-6.6135,106.8187,2
pjjindah-7,pjjindah-7,-6.6138,106.8188,2
pjjindah-8,pjjindah-8,-6.6137,106.8193,2
pjjindah-9,pjjindah-9,-6.6119,106.8188,2
pjjindah-bigroad,pjjindah-bigroad,-6.6115,106.8198,2
pjjindah-bigroadturnnorth,pjjindah-bigroadturnnorth,-6.6084,106.8194,2
pjjindah-east-1,pjjindah-east-1,-6.6113,106.8204,2
pjjindah-east-2,pjjindah-east-2,-6.6112,106.8211,2
pjjindah-bigroadbend,pjjindah-bigroadbend,-6.6130,106.8201,2
pjjindah-bigroadturnsouth,pjjindah-bigroadturnsouth,-6.6135,106.8207,2
dewisartika-pengadilan,dewisartika-pengadilan,-6.5920,106.7925,2
martadinata-airmancur,martadinata-airmancur,-6.5813,106.7965,2
martadinata-1,martadinata-1,-6.5821,106.7932,2
martadinata-2,martadinata-2,-6.5827,106.7931,2
martadinata-3,martadinata-3,-6.5832,106.7915,2
martadinata-tentpelajar,martadinata-tentpelajar,-6.5829,106.7877,2
tentpelajar,tentpelajar,-6.5729,106.7880,2
tentpelajar-cimanggu,tentpelajar-cimanggu,-6.5702,106.7877,2
merdeka-salamun,merdeka-salamun,-6.5903,106.7877,2
salamun-oking,salamun-oking,-6.5906,106.7906,2
muslihat-oking,muslihat-oking,-6.5958,106.7895,2
ll_-6.60366_106.80612,ll_-6.60366_106.80612,-6.60366,106.80612,2
ll_-6.60187_106.80531,ll_-6.60187_106.80531,-6.60187,106.80531,2
ll_-6.60146_106.80480,ll_-6.60146_106.80480,-6.60146,106.80480,2
ll_-6.60109_106.80525,ll_-6.60109_106.80525,-6.60109,106.80525,2
ll_-6.60432_106.80694,ll_-6.60432_106.80694,-6.60432,106.80694,2
ll_-6.60165_106.81101,ll_-6.60165_106.81101,-6.60165,106.81101,2
ll_-6.60459_106.80726,ll_-6.60459_106.80726,-6.60459,106.80726,2
ll_-6.60760_106.80983,ll_-6.60760_106.80983,-6.60760,106.80983,2
ll_-6.61235_106.81303,ll_-6.61235_106.81303,-6.61235,106.81303,2
ll_-6.61586_106.81456,ll_-6.61586_106.81456,-6.61586,106.81456,2
ll_-6.6212_106.8166,ll_-6.6212_106.8166,-6.6212,106.8166,2
ll_-6.6218_106.8169,ll_-6.6218_106.8169,-6.6218,106.8169,2
ll_-6.6241_106.8197,ll_-6.6241_106.8197,-6.6241,106.8197,2
ll_-6.6283_106.8235,ll_-6.6283_106.8235,-6.6283,106.8235,2
ll_-6.6331_106.8257,ll_-6.6331_106.8257,-6.6331,106.8257,2
ll_-6.6353_106.8275,ll_-6.6353_106.8275,-6.6353,106.8275,2
ll_-6.6405_106.8353,ll_-6.6405_106.8353,-6.6405,106.8353,2
ll_-6.6470_106.8424,ll_-6.6470_106.8424,-6.6470,106.8424,2
ll_-6.6489_106.8436,ll_-6.6489_106.8436,-6.6489,106.8436,2
ll_-6.6506_106.8449,ll_-6.6506_106.8449,-6.6506,106.8449,2
ll_-6.6550_106.8468,ll_-6.6550_106.8468,-6.6550,106.8468,2
ll_-6.6550_106.8466,ll_-6.6550_106.8466,-6.6550,106.8466,2
ll_-6.6505_106.8447,ll_-6.6505_106.8447,-6.6505,106.8447,2
ll_-6.6486_106.8432,ll_-6.6486_106.8432,-6.6486,106.8432,2
ll_-6.6471_106.8425,ll_-6.6471_106.8425,-6.6471,106.8425,2
ll_-6.6409_106.8356,ll_-6.6409_106.8356,-6.6409,106.8356,2
ll_-6.6371_106.8300,ll_-6.6371_106.8300,-6.6371,106.8300,2
ll_-6.6354_106.8275,ll_-6.6354_106.8275,-6.6354,106.8275,2
ll_-6.6339_106.8260,ll_-6.6339_106.8260,-6.6339,106.8260,2
ll_-6.6290_106.8237,ll_-6.6290_106.8237,-6.6290,106.8237,2
ll_-6.6250_106.8205,ll_-6.6250_106.8205,-6.6250,106.8205,2
ll_-6.6213_106.8160,ll_-6.6213_106.8160,-6.6213,106.8160,2
ll_-6.6207_106.8162,ll_-6.6207_106.8162,-6.6207,106.8162,2
ll_-6.6163_106.8145,ll_-6.6163_106.8145,-6.6163,106.8145,2
ll_-6.6152_106.8141,ll_-6.6152_106.8141,-6.6152,106.8141,2
ll_-6.6117_106.8123,ll_-6.6117_106.8123,-6.6117,106.8123,2
ll_-6.6079_106.8096,ll_-6.6079_106.8096,-6.6079,106.8096,2
adnawijaya-1,adnawijaya-1,-6.5704,106.8152,2
adnawijaya-2,adnawijaya-2,-6.5735,106.8176,2
adnawijaya-3,adnawijaya-3,-6.5770,106.8178,2
adnawijaya-4,adnawijaya-4,-6.5792,106.8184,2
adnawijaya-5,adnawijaya-5,-6.5819,106.8178,2
ciremai-1,ciremai-1,-6.5880,106.8005,2
ciremai-2,ciremai-2,-6.5860,106.7998,2
ciremai-3,ciremai-3,-6.5832,106.8004,2
ciremai-4,ciremai-4,-6.5817,106.8010,2
ciremai-5,ciremai-5,-6.5817,106.8018,2
ciremai-6,ciremai-6,-6.5766,106.8024,2
ciremai-7,ciremai-7,-6.5752,106.8045,2
ciremai-8,ciremai-8,-6.5744,106.8047,2
ciremai-9,ciremai-9,-6.5728,106.8070,2
ciremai-jambudua,ciremai-jambudua,-6.5701,106.8085,2
jambudua-1,jambudua-1,-6.5703,106.8075,2
jambudua-2,jambudua-2,-6.5695,106.8069,2
jambudua-3,jambudua-3,-6.5690,106.8070,2
jambudua-yani,jambudua-yani,-6.5685,106.8068,2
yani-sungai,yani-sungai,-6.5684,106.8074,2
